Country,Location_name,Region,Latitude,Longitude,Avg_temp,total_rainfall,Avg_humidity,Crop,Season,Average_Yield
India,Chhindwara,Madhya Pradesh,22.07,78.93,21.2581044,3510.9,53,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.9081044,3510.9,56,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.9081044,3510.9,62,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.6581044,3510.9,58,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.7081044,3510.9,50,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.7081044,3510.9,47,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.5081044,3510.9,50,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.6081044,3510.9,57,Sugarcane,Whole Year ,1550
India,Chhindwara,Madhya Pradesh,22.07,78.93,20.6581044,3510.9,50,Sugarcane,Whole Year ,1550
India,Betul,Madhya Pradesh,21.86,77.93,24.71744506,3669,76,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.86744506,3669,78,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.41744506,3669,87,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.31744506,3669,76,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.31744506,3669,81,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.26744506,3669,80,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.21744506,3669,86,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.31744506,3669,90,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.96744506,3669,87,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.46744506,3669,95,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.21744506,3669,98,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.96744506,3669,99,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.86744506,3669,96,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.51744506,3669,95,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.06744506,3669,90,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.36744506,3669,97,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.91744506,3669,98,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.66744506,3669,98,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.86744506,3669,96,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.76744506,3669,89,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.61744506,3669,91,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.16744506,3669,92,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.26744506,3669,92,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.21744506,3669,96,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.01744506,3669,96,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.01744506,3669,95,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.56744506,3669,97,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.76744506,3669,93,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.91744506,3669,90,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.41744506,3669,84,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.06744506,3669,86,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.21744506,3669,85,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.66744506,3669,73,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.46744506,3669,76,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.36744506,3669,74,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.81744506,3669,89,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.76744506,3669,88,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.66744506,3669,88,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.26744506,3669,82,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.11744506,3669,82,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.71744506,3669,79,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.71744506,3669,74,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.86744506,3669,71,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.06744506,3669,70,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.16744506,3669,61,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.21744506,3669,55,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.76744506,3669,52,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.96744506,3669,62,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.31744506,3669,72,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,23.06744506,3669,66,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.41744506,3669,66,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.51744506,3669,70,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.56744506,3669,55,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,22.26744506,3669,50,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.91744506,3669,53,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.76744506,3669,59,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.11744506,3669,58,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.31744506,3669,48,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.31744506,3669,50,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.36744506,3669,46,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.26744506,3669,48,Soyabean,Kharif     ,1300
India,Betul,Madhya Pradesh,21.86,77.93,21.61744506,3669,48,Soyabean,Kharif     ,1300
India,Hoshangabad,Madhya Pradesh,22.75,77.72,27.16949772,4584.1,74,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,26.61949772,4584.1,74,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,25.06949772,4584.1,84,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,25.61949772,4584.1,73,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,25.56949772,4584.1,74,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,25.56949772,4584.1,72,Wheat,Rabi       ,1450
India,Hoshangabad,Madhya Pradesh,22.75,77.72,25.71949772,4584.1,73,Wheat,Rabi       ,1450
